Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.5632929801940918	0	24.9353233831	12.6424537899	64.0	9.0	24.9353233831	12.6424537899	5012	5012
3864.9749751091003	1	36.1654676259	19.9660132528	112.0	10.0	36.1654676259	19.9660132528	5027	10039
3866.873523950577	2	33.9662162162	18.1846443762	111.0	13.0	33.9662162162	18.1846443762	5027	15066
3868.311653137207	3	36.3405797101	19.3935206485	109.0	12.0	36.3405797101	19.3935206485	5015	20081
3870.024197101593	4	37.8939393939	22.793292998	128.0	11.0	37.8939393939	22.793292998	5002	25083
3871.6820590496063	5	41.2601626016	22.7509804661	118.0	12.0	41.2601626016	22.7509804661	5075	30158
3872.9795110225677	6	37.3955223881	22.6886843572	127.0	11.0	37.3955223881	22.6886843572	5011	35169
3874.3498079776764	7	38.9302325581	25.3744625472	155.0	12.0	38.9302325581	25.3744625472	5022	40191
3876.6431860923767	8	37.9015151515	19.9847896133	127.0	11.0	37.9015151515	19.9847896133	5003	45194
3878.2275009155273	9	42.0083333333	22.2933083508	117.0	13.0	42.0083333333	22.2933083508	5041	50235
3879.9218831062317	10	41.0819672131	24.0595538993	136.0	12.0	41.0819672131	24.0595538993	5012	55247
3881.558275938034	11	42.1680672269	24.124787395	148.0	14.0	42.1680672269	24.124787395	5018	60265
3882.932037115097	12	39.5590551181	23.0980973901	164.0	12.0	39.5590551181	23.0980973901	5024	65289
3884.1857120990753	13	43.3706896552	26.529596411	161.0	12.0	43.3706896552	26.529596411	5031	70320
3885.6864869594574	14	43.7130434783	23.5596431719	138.0	10.0	43.7130434783	23.5596431719	5027	75347
3886.938054084778	15	43.1379310345	23.4516731819	102.0	13.0	43.1379310345	23.4516731819	5004	80351
3888.1682589054108	16	43.0683760684	21.4431175561	124.0	11.0	43.0683760684	21.4431175561	5039	85390
3889.339280128479	17	46.9813084112	23.7565460958	135.0	13.0	46.9813084112	23.7565460958	5027	90417
3890.6381421089172	18	43.9122807018	24.1077847962	107.0	12.0	43.9122807018	24.1077847962	5006	95423
3891.8937051296234	19	43.5304347826	24.354741254	129.0	12.0	43.5304347826	24.354741254	5006	100429
3893.2233810424805	20	41.4628099174	21.2171150789	111.0	11.0	41.4628099174	21.2171150789	5017	105446
3894.6496789455414	21	51.0	27.6774349252	123.0	10.0	51.0	27.6774349252	5049	110495
3896.1567409038544	22	45.1711711712	24.3838943574	136.0	13.0	45.1711711712	24.3838943574	5014	115509
3897.415193080902	23	44.7410714286	24.9466378839	132.0	13.0	44.7410714286	24.9466378839	5011	120520
3898.6860389709473	24	44.3539823009	23.0777525148	110.0	12.0	44.3539823009	23.0777525148	5012	125532
3899.975080013275	25	50.7575757576	28.14970474	148.0	12.0	50.7575757576	28.14970474	5025	130557
3901.4510610103607	26	41.3770491803	22.0436704676	113.0	10.0	41.3770491803	22.0436704676	5048	135605
3902.8902440071106	27	51.7835051546	24.5370440771	135.0	11.0	51.7835051546	24.5370440771	5023	140628
3904.2809369564056	28	52.59375	24.679013573	123.0	15.0	52.59375	24.679013573	5049	145677
