Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.6404809951782227	0	22.8636363636	12.7111098669	84.0	8.0	22.8636363636	12.7111098669	1006	1006
0.9196808338165283	1	18.9056603774	7.8048464647	42.0	10.0	18.9056603774	7.8048464647	1002	2008
1.1864778995513916	2	21.125	8.22502532924	46.0	11.0	21.125	8.22502532924	1014	3022
1.4577460289001465	3	23.3636363636	11.4991914915	60.0	9.0	23.3636363636	11.4991914915	1028	4050
1.743973970413208	4	27.1282051282	18.1901346708	121.0	9.0	27.1282051282	18.1901346708	1058	5108
2.0131118297576904	5	26.0256410256	19.311863206	127.0	9.0	26.0256410256	19.311863206	1015	6123
2.2824339866638184	6	27.6216216216	12.1862823885	59.0	11.0	27.6216216216	12.1862823885	1022	7145
2.5564868450164795	7	28.5833333333	11.8071894294	52.0	10.0	28.5833333333	11.8071894294	1029	8174
2.8247618675231934	8	27.5405405405	9.59333832659	52.0	13.0	27.5405405405	9.59333832659	1019	9193
3.0992519855499268	9	35.1724137931	26.2219557459	140.0	9.0	35.1724137931	26.2219557459	1020	10213
3.364043951034546	10	40.56	21.7808723425	103.0	14.0	40.56	21.7808723425	1014	11227
3.639659881591797	11	31.696969697	13.2310123493	56.0	9.0	31.696969697	13.2310123493	1046	12273
3.910188913345337	12	33.2580645161	13.3198075689	58.0	13.0	33.2580645161	13.3198075689	1031	13304
4.181341886520386	13	44.5652173913	21.7111994481	83.0	13.0	44.5652173913	21.7111994481	1025	14329
4.454257965087891	14	35.9655172414	16.8348627569	99.0	18.0	35.9655172414	16.8348627569	1043	15372
4.736201047897339	15	47.9545454545	24.9371524086	143.0	21.0	47.9545454545	24.9371524086	1055	16427
5.013211965560913	16	38.4444444444	13.9823521927	72.0	18.0	38.4444444444	13.9823521927	1038	17465
5.294899940490723	17	44.0	21.471923022	105.0	15.0	44.0	21.471923022	1012	18477
5.580452919006348	18	50.5	21.8757857002	99.0	19.0	50.5	21.8757857002	1010	19487
5.876813888549805	19	51.05	27.4088945417	141.0	19.0	51.05	27.4088945417	1021	20508
6.1489880084991455	20	42.4166666667	18.9427133455	108.0	15.0	42.4166666667	18.9427133455	1018	21526
6.476197004318237	21	53.6315789474	22.1174152062	108.0	24.0	53.6315789474	22.1174152062	1019	22545
6.777602910995483	22	51.1	29.8025166723	172.0	22.0	51.1	29.8025166723	1022	23567
7.056243896484375	23	56.7777777778	26.5446281562	139.0	20.0	56.7777777778	26.5446281562	1022	24589
7.339224815368652	24	53.15	18.344685879	106.0	27.0	53.15	18.344685879	1063	25652
7.625764846801758	25	70.5333333333	37.7480536658	174.0	26.0	70.5333333333	37.7480536658	1058	26710
7.890871047973633	26	55.7777777778	14.8269857413	85.0	34.0	55.7777777778	14.8269857413	1004	27714
8.223527908325195	27	61.0588235294	28.5254697095	126.0	32.0	61.0588235294	28.5254697095	1038	28752
8.506945848464966	28	51.65	19.2178953062	96.0	20.0	51.65	19.2178953062	1033	29785
8.833647012710571	29	53.2105263158	15.3984925693	80.0	26.0	53.2105263158	15.3984925693	1011	30796
9.08652400970459	30	67.2	24.0172160474	116.0	38.0	67.2	24.0172160474	1008	31804
9.370364904403687	31	63.8125	22.4505533061	116.0	36.0	63.8125	22.4505533061	1021	32825
9.6874680519104	32	50.05	19.4177109877	87.0	23.0	50.05	19.4177109877	1001	33826
9.986852884292603	33	50.7619047619	18.3508265336	93.0	25.0	50.7619047619	18.3508265336	1066	34892
10.246340990066528	34	68.4	24.6895389453	111.0	24.0	68.4	24.6895389453	1026	35918
10.500541925430298	35	56.3333333333	13.9323763627	77.0	27.0	56.3333333333	13.9323763627	1014	36932
10.756433963775635	36	67.6	25.9994871744	127.0	28.0	67.6	25.9994871744	1014	37946
11.030325889587402	37	66.9375	21.5420192589	120.0	27.0	66.9375	21.5420192589	1071	39017
11.299518823623657	38	66.0625	21.0608307944	127.0	43.0	66.0625	21.0608307944	1057	40074
11.555686950683594	39	56.7222222222	18.3297134473	85.0	31.0	56.7222222222	18.3297134473	1021	41095
11.817222833633423	40	72.0	27.2213151776	136.0	38.0	72.0	27.2213151776	1008	42103
12.09163784980774	41	77.8461538462	25.3978986225	126.0	35.0	77.8461538462	25.3978986225	1012	43115
12.358851909637451	42	86.0	39.1599284984	159.0	44.0	86.0	39.1599284984	1032	44147
12.641149044036865	43	58.1666666667	9.36453119192	72.0	41.0	58.1666666667	9.36453119192	1047	45194
12.911775827407837	44	69.1333333333	22.9836656974	141.0	43.0	69.1333333333	22.9836656974	1037	46231
13.186938047409058	45	68.2666666667	17.066406248	111.0	34.0	68.2666666667	17.066406248	1024	47255
13.449556827545166	46	65.75	17.7992275113	100.0	37.0	65.75	17.7992275113	1052	48307
13.706470966339111	47	63.625	17.6382928596	108.0	36.0	63.625	17.6382928596	1018	49325
13.965601921081543	48	60.1764705882	16.2814773651	98.0	34.0	60.1764705882	16.2814773651	1023	50348
14.21973204612732	49	59.8823529412	22.8881740668	112.0	31.0	59.8823529412	22.8881740668	1018	51366
14.637187957763672	50	69.5333333333	32.6432569181	151.0	40.0	69.5333333333	32.6432569181	1043	52409
14.970548868179321	51	72.7857142857	23.3151654246	116.0	29.0	72.7857142857	23.3151654246	1019	53428
15.411330938339233	52	66.8	32.9407548993	145.0	25.0	66.8	32.9407548993	1002	54430
15.6962149143219	53	70.4	26.9958021428	155.0	46.0	70.4	26.9958021428	1056	55486
15.966492891311646	54	54.3157894737	20.3367767243	116.0	29.0	54.3157894737	20.3367767243	1032	56518
16.246124982833862	55	66.8125	50.3378817964	200.0	26.0	66.8125	50.3378817964	1069	57587
16.547703981399536	56	65.2352941176	33.0517053253	156.0	35.0	65.2352941176	33.0517053253	1109	58696
16.809542894363403	57	49.1428571429	15.4835879756	82.0	31.0	49.1428571429	15.4835879756	1032	59728
17.071353912353516	58	54.2631578947	15.714030289	96.0	33.0	54.2631578947	15.714030289	1031	60759
17.35685682296753	59	54.2105263158	15.3231127364	90.0	31.0	54.2105263158	15.3231127364	1030	61789
17.713318824768066	60	50.5	19.2158788506	95.0	24.0	50.5	19.2158788506	1010	62799
18.119194984436035	61	56.6666666667	24.6260927564	110.0	30.0	56.6666666667	24.6260927564	1020	63819
18.45857882499695	62	55.0	21.3122154249	124.0	29.0	55.0	21.3122154249	1045	64864
18.890960931777954	63	50.9047619048	15.1182789456	85.0	27.0	50.9047619048	15.1182789456	1069	65933
