Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.5500550270080566	0	19.2328244275	9.15073052394	55.0	8.0	19.2328244275	9.15073052394	5039	5039
2.7747840881347656	1	17.6690140845	7.97065200559	52.0	8.0	17.6690140845	7.97065200559	5018	10057
3.9951910972595215	2	20.3036437247	9.90689996342	68.0	8.0	20.3036437247	9.90689996342	5015	15072
5.195487022399902	3	21.947826087	11.5531614181	81.0	9.0	21.947826087	11.5531614181	5048	20120
6.39607310295105	4	22.1548672566	11.6944090049	78.0	9.0	22.1548672566	11.6944090049	5007	25127
7.571975946426392	5	24.3349514563	12.6145024317	76.0	9.0	24.3349514563	12.6145024317	5013	30140
8.762477159500122	6	25.3333333333	14.9115235759	121.0	9.0	25.3333333333	14.9115235759	5016	35156
9.986942052841187	7	26.4814814815	13.6011175205	75.0	9.0	26.4814814815	13.6011175205	5005	40161
11.220081090927124	8	30.0479041916	16.4173883221	100.0	9.0	30.0479041916	16.4173883221	5018	45179
12.418874025344849	9	29.269005848	18.1555375103	105.0	9.0	29.269005848	18.1555375103	5005	50184
13.637802124023438	10	32.0126582278	22.1067568976	161.0	9.0	32.0126582278	22.1067568976	5058	55242
14.828999042510986	11	29.5917159763	20.3921362617	148.0	9.0	29.5917159763	20.3921362617	5001	60243
16.020676136016846	12	27.3369565217	15.4126410385	108.0	10.0	27.3369565217	15.4126410385	5030	65273
17.243077993392944	13	26.807486631	14.4090489837	79.0	10.0	26.807486631	14.4090489837	5013	70286
18.495240926742554	14	30.2891566265	16.2706996025	101.0	11.0	30.2891566265	16.2706996025	5028	75314
19.67809009552002	15	29.8333333333	16.7038870108	126.0	9.0	29.8333333333	16.7038870108	5012	80326
20.87899112701416	16	31.4779874214	18.4260672879	107.0	10.0	31.4779874214	18.4260672879	5005	85331
22.08951997756958	17	30.0419161677	16.024439902	89.0	10.0	30.0419161677	16.024439902	5017	90348
23.306708097457886	18	32.7189542484	18.5628969723	120.0	11.0	32.7189542484	18.5628969723	5006	95354
24.50033402442932	19	31.8101265823	18.4429163441	135.0	10.0	31.8101265823	18.4429163441	5026	100380
25.64641308784485	20	34.0408163265	15.6539436908	84.0	12.0	34.0408163265	15.6539436908	5004	105384
26.834738969802856	21	34.5448275862	21.0362509149	146.0	10.0	34.5448275862	21.0362509149	5009	110393
28.0290629863739	22	29.8571428571	14.5537941847	101.0	10.0	29.8571428571	14.5537941847	5016	115409
29.2154381275177	23	33.3866666667	16.5226255648	107.0	10.0	33.3866666667	16.5226255648	5008	120417
30.412842988967896	24	33.6979865772	16.8242812298	129.0	10.0	33.6979865772	16.8242812298	5021	125438
31.622655153274536	25	34.6068965517	15.7682774306	114.0	11.0	34.6068965517	15.7682774306	5018	130456
32.81789207458496	26	38.0909090909	21.5682337069	141.0	11.0	38.0909090909	21.5682337069	5028	135484
34.01675605773926	27	35.2183098592	16.7378781856	85.0	11.0	35.2183098592	16.7378781856	5001	140485
35.19826698303223	28	38.976744186	19.2198480728	127.0	11.0	38.976744186	19.2198480728	5028	145513
36.397361040115356	29	35.829787234	17.7508195583	100.0	13.0	35.829787234	17.7508195583	5052	150565
37.575510025024414	30	39.9920634921	25.3776229489	200.0	13.0	39.9920634921	25.3776229489	5039	155604
38.76387000083923	31	40.56	19.7319639164	99.0	10.0	40.56	19.7319639164	5070	160674
39.94817399978638	32	37.9848484848	17.1389087947	98.0	14.0	37.9848484848	17.1389087947	5014	165688
41.154664039611816	33	38.984496124	19.9468225194	141.0	15.0	38.984496124	19.9468225194	5029	170717
42.35234808921814	34	38.9069767442	17.149792351	105.0	15.0	38.9069767442	17.149792351	5019	175736
43.56421399116516	35	38.8372093023	20.6017199168	129.0	11.0	38.8372093023	20.6017199168	5010	180746
44.75382208824158	36	38.9615384615	19.3900862243	128.0	14.0	38.9615384615	19.3900862243	5065	185811
45.93717813491821	37	41.4297520661	20.6501061356	116.0	15.0	41.4297520661	20.6501061356	5013	190824
47.1216459274292	38	37.9924242424	17.367461832	96.0	12.0	37.9924242424	17.367461832	5015	195839
48.324856996536255	39	37.8721804511	16.916163705	99.0	12.0	37.8721804511	16.916163705	5037	200876
49.50962805747986	40	39.6692913386	19.1562391383	137.0	14.0	39.6692913386	19.1562391383	5038	205914
50.72069501876831	41	38.0681818182	19.6211053583	134.0	12.0	38.0681818182	19.6211053583	5025	210939
51.91541814804077	42	37.6917293233	16.5571148422	105.0	13.0	37.6917293233	16.5571148422	5013	215952
53.099064111709595	43	38.4769230769	16.9034431561	110.0	13.0	38.4769230769	16.9034431561	5002	220954
54.28422999382019	44	42.3949579832	20.4890700469	117.0	14.0	42.3949579832	20.4890700469	5045	225999
55.41710901260376	45	37.6268656716	17.571037755	122.0	12.0	37.6268656716	17.571037755	5042	231041
56.490540981292725	46	39.7480314961	21.2710177686	175.0	14.0	39.7480314961	21.2710177686	5048	236089
57.601240158081055	47	41.0162601626	20.8615193032	130.0	18.0	41.0162601626	20.8615193032	5045	241134
58.777300119400024	48	40.9918032787	17.4912136733	123.0	15.0	40.9918032787	17.4912136733	5001	246135
59.99585700035095	49	40.1428571429	17.6341634001	102.0	13.0	40.1428571429	17.6341634001	5058	251193
61.19770908355713	50	40.2698412698	18.192712957	122.0	15.0	40.2698412698	18.192712957	5074	256267
62.39295697212219	51	39.6299212598	18.2833357066	121.0	11.0	39.6299212598	18.2833357066	5033	261300
63.580536127090454	52	42.4745762712	22.3601915733	137.0	11.0	42.4745762712	22.3601915733	5012	266312
