Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.6818950176239014	0	21.625	11.8420595759	67.0	9.0	21.625	11.8420595759	1038	1038
1.0080199241638184	1	32.6129032258	18.1173191411	82.0	11.0	32.6129032258	18.1173191411	1011	2049
1.3121068477630615	2	26.3421052632	12.0203255841	59.0	10.0	26.3421052632	12.0203255841	1001	3050
1.6277267932891846	3	26.5263157895	12.2683521866	69.0	10.0	26.5263157895	12.2683521866	1008	4058
1.9430828094482422	4	27.2432432432	15.9465414456	84.0	10.0	27.2432432432	15.9465414456	1008	5066
2.2346718311309814	5	29.8235294118	15.3440361824	75.0	13.0	29.8235294118	15.3440361824	1014	6080
2.5502119064331055	6	32.6774193548	15.0062075258	72.0	12.0	32.6774193548	15.0062075258	1013	7093
2.894752025604248	7	35.7666666667	22.0887351884	100.0	9.0	35.7666666667	22.0887351884	1073	8166
3.225916862487793	8	40.36	26.0397849453	120.0	10.0	40.36	26.0397849453	1009	9175
3.5704870223999023	9	42.0833333333	31.1139259639	168.0	13.0	42.0833333333	31.1139259639	1010	10185
3.913395881652832	10	44.5217391304	25.161857893	105.0	16.0	44.5217391304	25.161857893	1024	11209
4.25323486328125	11	43.7391304348	24.8407403644	128.0	15.0	43.7391304348	24.8407403644	1006	12215
4.649634838104248	12	54.05	38.5907696218	196.0	21.0	54.05	38.5907696218	1081	13296
5.011040925979614	13	52.1	32.0576044021	146.0	18.0	52.1	32.0576044021	1042	14338
5.412331819534302	14	79.3846153846	44.1370914338	200.0	26.0	79.3846153846	44.1370914338	1032	15370
5.793552875518799	15	59.7222222222	30.9996515313	127.0	16.0	59.7222222222	30.9996515313	1075	16445
6.201476812362671	16	71.8666666667	45.8444713739	177.0	18.0	71.8666666667	45.8444713739	1078	17523
6.577801942825317	17	68.7333333333	34.5397677403	125.0	25.0	68.7333333333	34.5397677403	1031	18554
6.96073579788208	18	65.875	36.5288841193	134.0	18.0	65.875	36.5288841193	1054	19608
7.361573934555054	19	85.6666666667	33.5964614539	141.0	30.0	85.6666666667	33.5964614539	1028	20636
7.820379972457886	20	103.636363636	53.6016837037	200.0	27.0	103.636363636	53.6016837037	1140	21776
8.292371988296509	21	109.6	49.1654350128	197.0	30.0	109.6	49.1654350128	1096	22872
8.750890016555786	22	134.75	25.0985557353	184.0	108.0	134.75	25.0985557353	1078	23950
9.24788498878479	23	126.444444444	53.2647707445	200.0	25.0	126.444444444	53.2647707445	1138	25088
9.673137903213501	24	114.888888889	40.5118485945	170.0	48.0	114.888888889	40.5118485945	1034	26122
10.154501914978027	25	139.0	47.1831537734	194.0	42.0	139.0	47.1831537734	1112	27234
10.660475969314575	26	157.0	54.076665155	200.0	66.0	157.0	54.076665155	1099	28333
11.134974956512451	27	171.5	26.4811253537	200.0	130.0	171.5	26.4811253537	1029	29362
11.608934879302979	28	150.714285714	43.5880530346	200.0	103.0	150.714285714	43.5880530346	1055	30417
12.14332890510559	29	167.571428571	34.0120026833	200.0	109.0	167.571428571	34.0120026833	1173	31590
12.620104789733887	30	170.333333333	42.0541978351	200.0	106.0	170.333333333	42.0541978351	1022	32612
13.198139905929565	31	199.333333333	1.490711985	200.0	196.0	199.333333333	1.490711985	1196	33808
13.687748908996582	32	156.142857143	38.2899784406	200.0	108.0	156.142857143	38.2899784406	1093	34901
14.223804950714111	33	186.333333333	30.5595956925	200.0	118.0	186.333333333	30.5595956925	1118	36019
14.705686807632446	34	172.5	39.6642156105	200.0	104.0	172.5	39.6642156105	1035	37054
15.27216386795044	35	196.5	7.82623792125	200.0	179.0	196.5	7.82623792125	1179	38233
15.79719090461731	36	187.0	21.4087209644	200.0	142.0	187.0	21.4087209644	1122	39355
16.337167978286743	37	190.166666667	21.9880017787	200.0	141.0	190.166666667	21.9880017787	1141	40496
16.91982102394104	38	200.0	0.0	200.0	200.0	200.0	0.0	1200	41696
17.46184992790222	39	192.5	16.7705098312	200.0	155.0	192.5	16.7705098312	1155	42851
18.008306980133057	40	191.5	16.8695979008	200.0	154.0	191.5	16.8695979008	1149	44000
18.52311396598816	41	181.5	26.4307270678	200.0	138.0	181.5	26.4307270678	1089	45089
18.975663900375366	42	167.666666667	15.3369560938	188.0	142.0	167.666666667	15.3369560938	1006	46095
19.456717014312744	43	156.428571429	15.0129196062	176.0	135.0	156.428571429	15.0129196062	1095	47190
19.941986799240112	44	143.625	38.9965944026	179.0	46.0	143.625	38.9965944026	1149	48339
20.421844959259033	45	156.0	13.9591240003	176.0	134.0	156.0	13.9591240003	1092	49431
20.87016987800598	46	121.444444444	28.8640919218	163.0	73.0	121.444444444	28.8640919218	1093	50524
21.327608823776245	47	138.125	14.8023435644	161.0	115.0	138.125	14.8023435644	1105	51629
21.78706192970276	48	113.9	37.9089699148	142.0	31.0	113.9	37.9089699148	1139	52768
22.197847843170166	49	97.0	33.6614157321	134.0	45.0	97.0	33.6614157321	1067	53835
22.61797785758972	50	96.6363636364	41.3109554637	147.0	29.0	96.6363636364	41.3109554637	1063	54898
22.999777793884277	51	79.3846153846	34.2895778325	125.0	30.0	79.3846153846	34.2895778325	1032	55930
23.40670895576477	52	113.333333333	25.7983634279	144.0	51.0	113.333333333	25.7983634279	1020	56950
23.80984592437744	53	95.7272727273	35.8965455646	140.0	38.0	95.7272727273	35.8965455646	1053	58003
24.20054292678833	54	100.5	28.8903097941	136.0	55.0	100.5	28.8903097941	1005	59008
24.64279079437256	55	111.3	25.4285272873	138.0	53.0	111.3	25.4285272873	1113	60121
